index,author_country,country_detail
0,Schweiz,
1,Deutschland,BRD
2,Deutschland,BRD
3,Österreich,
4,Deutschland,BRD
5,Deutschland,BRD
6,Deutschland,BRD
7,Deutschland,BRD
8,Deutschland,BRD
9,Österreich,
10,Österreich,
11,Österreich,
12,Deutschland,BRD
13,Österreich,
14,Schweiz,
15,Deutschland,BRD
16,Deutschland,BRD
17,Deutschland,BRD
18,Österreich,
19,Schweiz,
20,Österreich,
21,Österreich,
22,Deutschland,DDR
23,Österreich,
24,Deutschland,BRD
25,Deutschland,DDR
26,Österreich,
27,Deutschland,BRD
28,Deutschland,BRD
29,Deutschland,DDR
30,Schweiz,
31,Deutschland,BRD
32,Österreich,
33,Schweiz,
34,Deutschland,BRD
35,Schweiz,
36,Deutschland,BRD
37,Deutschland,BRD
38,Österreich,
39,Österreich,
40,Schweiz,
41,Österreich,
42,Deutschland,BRD
43,Österreich,
44,Österreich,
45,Deutschland,
45,Österreich,
46,Schweiz,
47,Deutschland,BRD
48,Österreich,
49,Deutschland,BRD
50,Österreich,
51,Österreich,
52,Deutschland,BRD
53,Österreich,
54,Österreich,
55,Österreich,
56,Deutschland,BRD
57,Deutschland,BRD
58,Deutschland,BRD
59,Deutschland,BRD
60,Schweiz,
61,Deutschland,BRD
62,Deutschland,BRD
63,Deutschland,BRD
64,Deutschland,BRD
65,Schweiz,
66,Österreich,
67,Deutschland,BRD
68,Österreich,
69,Österreich,
70,Deutschland,BRD
71,Österreich,
72,Deutschland,BRD
73,Schweiz,
74,Deutschland,DDR
75,Deutschland,BRD
76,Deutschland,BRD
77,Schweiz,
78,Deutschland,BRD
79,Deutschland,BRD
80,Österreich,
81,Deutschland,BRD
82,Deutschland,BRD
83,Schweiz,
84,Deutschland,BRD
85,Deutschland,BRD
86,Deutschland,BRD
87,Deutschland,BRD
88,Deutschland,BRD
89,Deutschland,BRD
90,Österreich,
91,Deutschland,BRD
92,Deutschland,BRD
93,Schweiz,
94,Österreich,
95,Österreich,
96,Deutschland,BRD
97,Deutschland,BRD
98,Schweiz,
99,Deutschland,BRD
100,Schweiz,
101,Deutschland,BRD
102,Deutschland,BRD
103,Schweiz,
104,Österreich,
105,Schweiz,
106,Schweiz,
107,Deutschland,BRD
108,Österreich,
109,Schweiz,
110,Österreich,
111,Italien,
112,Deutschland,BRD
113,Schweiz,
114,Deutschland,BRD
115,Deutschland,BRD
116,Deutschland,BRD
117,Schweiz,
118,Schweiz,
119,Schweiz,
120,Deutschland,BRD
121,Deutschland,BRD
122,Österreich,
123,Schweiz,
124,Deutschland,BRD
125,Schweiz,
126,Österreich,
127,Polen,
128,Deutschland,BRD
129,Deutschland,BRD
130,Schweiz,
131,Deutschland,BRD
132,Schweiz,
133,Deutschland,BRD
134,Österreich,
135,Deutschland,BRD
136,Deutschland,BRD
137,Österreich,
138,Österreich,
139,Deutschland,BRD
140,Deutschland,BRD
141,Deutschland,BRD
142,Österreich,
143,Deutschland,BRD
144,Deutschland,BRD
145,Österreich,
146,Deutschland,BRD
147,Deutschland,BRD
148,Deutschland,BRD
149,Österreich,
150,Österreich,
151,Österreich,
152,Deutschland,BRD
153,Österreich,
154,Österreich,
155,Deutschland,BRD
156,Deutschland,BRD
157,Schweiz,
158,Deutschland,BRD
159,Österreich,
160,Deutschland,BRD
161,Deutschland,BRD
162,Deutschland,BRD
163,Deutschland,BRD
164,Deutschland,BRD
165,Deutschland,BRD
166,Deutschland,BRD
167,Deutschland,BRD
168,Deutschland,BRD
169,Deutschland,BRD
170,Deutschland,BRD
171,Deutschland,BRD
172,Deutschland,BRD
173,Deutschland,BRD
174,Deutschland,BRD
175,Schweiz,
176,Österreich,
177,Deutschland,BRD
178,Schweiz,
179,Deutschland,BRD
180,Österreich,
181,Deutschland,BRD
182,Tschechien,
183,Schweiz,
184,Deutschland,BRD
185,Österreich,
186,Deutschland,DDR
187,Deutschland,BRD
188,Schweiz,
189,Deutschland,BRD
190,Deutschland,BRD
191,Deutschland,BRD
192,Deutschland,BRD
193,Schweiz,
194,Deutschland,BRD
195,Schweiz,
196,Österreich,
197,Österreich,
198,Österreich,
199,Schweiz,
200,Schweiz,
201,Schweiz,
202,Österreich,
203,Deutschland,BRD
204,Deutschland,BRD
205,Schweiz,
206,Österreich,
207,Deutschland,DDR
208,Österreich,
209,Deutschland,BRD
210,Österreich,
211,Deutschland,BRD
212,Deutschland,BRD
213,Deutschland,BRD
214,Schweiz,
215,Schweiz,
216,Deutschland,BRD
217,Deutschland,BRD
218,Deutschland,
219,Deutschland,
220,Deutschland,BRD
221,Deutschland,BRD
222,Österreich,
223,Deutschland,BRD
224,Deutschland,BRD
225,Deutschland,BRD
226,Deutschland,BRD
227,Schweiz,
228,Deutschland,BRD
229,Deutschland,BRD
230,Österreich,
231,Schweiz,
232,Österreich,
233,Deutschland,BRD
234,Schweiz,
235,Schweiz,
236,Deutschland,
237,Österreich,
238,Deutschland,BRD
239,Deutschland,BRD
240,Deutschland,BRD
241,Österreich,
242,Österreich,
243,Italien,
244,Deutschland,BRD
245,Deutschland,BRD
246,Deutschland,DDR
247,Deutschland,BRD
248,Deutschland,BRD
249,Deutschland,BRD
250,Österreich,
251,Deutschland,BRD
252,Deutschland,BRD
253,Österreich,
254,Italien,
255,Deutschland,BRD
256,Deutschland,BRD
257,Deutschland,BRD
258,Deutschland,BRD
259,Deutschland,BRD
260,Deutschland,BRD
261,Deutschland,BRD
262,Deutschland,DDR
263,Österreich,
264,Deutschland,BRD
265,Deutschland,DDR
266,Deutschland,DDR
267,Deutschland,BRD
268,Österreich,
269,Deutschland,DDR
270,Deutschland,BRD
271,Deutschland,DDR
272,Österreich,
273,Deutschland,BRD
274,Österreich,
275,Deutschland,BRD
276,Deutschland,BRD
277,Österreich,
278,Schweiz,
279,Österreich,
280,Deutschland,BRD
281,Deutschland,DDR
282,Deutschland,DDR
283,Schweiz,
284,Österreich,
285,Deutschland,BRD
286,Deutschland,BRD
287,Deutschland,BRD
288,Deutschland,BRD
289,Deutschland,BRD
290,Deutschland,DDR
291,Österreich,
292,Schweiz,
293,Österreich,
294,Schweiz,
295,Österreich,
296,Deutschland,BRD
297,Deutschland,BRD
298,Deutschland,BRD
299,Deutschland,DDR
300,Deutschland,BRD
301,Deutschland,BRD
302,Deutschland,BRD
303,Schweiz,
304,Deutschland,BRD
305,Österreich,
306,Deutschland,DDR
307,Schweiz,
308,Österreich,
309,Deutschland,BRD
310,Schweiz,
311,Schweiz,
312,Österreich,
313,Deutschland,BRD
314,Deutschland,BRD
315,Deutschland,DDR
316,Deutschland,BRD
317,Deutschland,BRD
318,Deutschland,DDR
319,Deutschland,DDR
320,Österreich,
321,Schweiz,
322,Deutschland,BRD
323,Deutschland,BRD
324,Deutschland,BRD
325,Schweiz,
326,Deutschland,BRD
327,Österreich,
328,Deutschland,BRD
329,Deutschland,BRD
330,Deutschland,BRD
331,Deutschland,DDR
332,Österreich,
333,Deutschland,BRD
334,Deutschland,BRD
335,Deutschland,DDR
336,Deutschland,DDR
337,Rumänien,
338,Deutschland,BRD
339,Schweiz,
340,Deutschland,BRD
341,Österreich,
342,Österreich,
343,Deutschland,BRD
344,Deutschland,BRD
345,Deutschland,
346,Deutschland,
347,Deutschland,
347,Iran,
348,Schweiz,
349,Deutschland,
350,Deutschland,
350,Türkei,
351,Österreich,
352,Schweiz,
353,Deutschland,
354,Österreich,
355,Deutschland,
356,Deutschland,
357,Deutschland,
358,Deutschland,
359,Deutschland,
360,Deutschland,
361,Deutschland,
362,Deutschland,
363,Deutschland,
364,Schweiz,
365,Schweiz,
366,Schweiz,
367,Deutschland,
368,Deutschland,
369,Deutschland,
370,Österreich,
371,Deutschland,
372,Deutschland,
373,Österreich,
374,Schweiz,
375,Österreich,
376,Deutschland,
377,Österreich,
378,Österreich,
379,Deutschland,
380,Österreich,
381,Deutschland,
382,Deutschland,
383,Deutschland,
384,Deutschland,
385,Deutschland,
386,Deutschland,
387,Deutschland,
388,Schweiz,
389,Deutschland,
390,Österreich,
391,Deutschland,
392,Deutschland,
393,Deutschland,
394,Österreich,
395,Deutschland,
396,Österreich,
397,Deutschland,
398,Deutschland,
399,Deutschland,
400,Deutschland,
401,Schweiz,
402,Österreich,
403,Deutschland,
404,Italien,
405,Deutschland,
406,Deutschland,
407,Deutschland,
408,Deutschland,
409,Deutschland,
410,Österreich,
411,Deutschland,
412,Schweiz,
413,Schweiz,
414,Deutschland,
415,Österreich,
416,Österreich,
417,Deutschland,
418,Österreich,
419,Schweiz,
420,Österreich,
421,Deutschland,
422,Deutschland,
423,Deutschland,
424,Deutschland,
425,Deutschland,
426,Deutschland,
427,Österreich,
428,Österreich,
429,Schweiz,
430,Deutschland,
431,Schweiz,
432,Österreich,
433,Österreich,
434,Deutschland,
435,Deutschland,
436,Deutschland,
437,Österreich,
438,Deutschland,
439,Deutschland,
440,Deutschland,
441,Schweiz,
442,Schweiz,
443,Deutschland,
444,Österreich,
445,Deutschland,
446,Deutschland,
447,Deutschland,
448,Österreich,
449,Österreich,
450,Österreich,
451,Deutschland,
452,Schweiz,
453,Schweiz,
454,Österreich,
455,Österreich,
456,Österreich,
457,Japan,
458,Deutschland,
459,Deutschland,
460,Deutschland,
461,Österreich,
462,Schweiz,
463,Österreich,
464,Österreich,
465,Deutschland,
466,Deutschland,
467,Deutschland,
468,Deutschland,
469,Deutschland,
470,Deutschland,
471,Österreich,
472,Österreich,
473,Deutschland,
474,Schweiz,
475,Schweiz,
476,Deutschland,
477,Deutschland,
478,Schweiz,
479,Österreich,
480,Deutschland,
481,Österreich,
482,Deutschland,
483,Deutschland,
484,Deutschland,
485,Schweiz,
486,Deutschland,
487,Schweiz,
488,Österreich,
489,Österreich,
490,Schweiz,
491,Deutschland,
492,Schweiz,
493,Österreich,
494,Österreich,
495,Deutschland,
496,Schweiz,
497,Deutschland,
498,Deutschland,
499,Deutschland,
500,Österreich,
501,Deutschland,
502,Deutschland,
503,Deutschland,
504,Deutschland,
505,Deutschland,
506,Schweiz,
507,Deutschland,
508,Österreich,
509,Schweiz,
510,Deutschland,
511,Österreich,
512,Deutschland,
513,Deutschland,
514,Schweiz,
515,Deutschland,
516,Österreich,
517,Österreich,
518,Österreich,
519,Österreich,
520,Schweiz,
521,Deutschland,
522,Deutschland,
523,Deutschland,
524,Deutschland,
525,Schweiz,
526,Deutschland,
527,Deutschland,
528,Deutschland,
529,Deutschland,
530,Deutschland,
531,Österreich,
532,Deutschland,
533,Deutschland,
534,Österreich,
535,Deutschland,
536,Deutschland,
537,Deutschland,
538,Schweiz,
539,Deutschland,
540,Deutschland,
541,Deutschland,
542,Deutschland,
543,Deutschland,
544,Deutschland,
545,Deutschland,
546,Deutschland,
547,Deutschland,
548,Deutschland,
549,Deutschland,
550,Schweiz,
551,Deutschland,
552,Deutschland,
553,Deutschland,
554,Deutschland,
555,Österreich,
556,Schweiz,
557,Deutschland,
558,Österreich,
559,Österreich,
560,Deutschland,
561,Deutschland,
562,Schweiz,
563,Schweiz,
564,Österreich,
565,Österreich,
566,Deutschland,
567,Schweiz,
568,Österreich,
569,Schweiz,
570,Deutschland,
571,Deutschland,
572,Österreich,
573,Deutschland,
574,Deutschland,
575,Österreich,
576,Deutschland,
577,Deutschland,
578,Schweiz,
579,Deutschland,
580,Deutschland,
581,Deutschland,
582,Deutschland,
583,Deutschland,
584,Deutschland,
585,Deutschland,
586,Schweiz,
587,Deutschland,
588,Deutschland,
589,Deutschland,
590,Österreich,
591,Österreich,
592,Luxemburg,
593,Deutschland,
594,Deutschland,
595,Schweiz,
596,Deutschland,
597,Schweiz,
598,Deutschland,
599,Deutschland,
600,Österreich,
601,Deutschland,
602,Deutschland,
603,Deutschland,
604,Deutschland,
605,Deutschland,
606,Deutschland,
607,Deutschland,
608,Deutschland,
609,Deutschland,
610,Deutschland,
611,Deutschland,
612,Österreich,
613,Deutschland,
614,Deutschland,
615,Österreich,
616,Deutschland,
617,Schweiz,
618,Deutschland,
619,Deutschland,
620,Deutschland,
621,Deutschland,
622,Deutschland,
623,Deutschland,
624,Deutschland,
625,Deutschland,
626,Deutschland,
627,Deutschland,
628,Deutschland,
629,Deutschland,
630,Österreich,
631,Schweiz,
632,Deutschland,
633,Deutschland,
634,Deutschland,
635,Deutschland,
636,Deutschland,
637,Deutschland,
638,Deutschland,
639,Deutschland,
640,Schweiz,
641,Österreich,
642,Deutschland,
643,Deutschland,
644,Österreich,
645,Deutschland,
646,Deutschland,
647,Deutschland,
648,Deutschland,
649,Tschechien,
650,Österreich,
651,Schweiz,
652,Deutschland,
653,Deutschland,
654,Deutschland,
655,Deutschland,
656,Deutschland,
657,Österreich,
658,Deutschland,
659,Deutschland,
660,Deutschland,
661,Deutschland,
662,Deutschland,
663,Deutschland,
664,Schweiz,
665,Deutschland,
666,Deutschland,
667,Deutschland,
668,Deutschland,
669,Deutschland,
670,Deutschland,
671,Österreich,
672,Österreich,
673,Deutschland,
674,Deutschland,
675,Österreich,
676,Deutschland,
677,Österreich,
678,Deutschland,
679,Deutschland,
680,Schweiz,
681,Schweiz,
682,Deutschland,
683,Österreich,
684,Deutschland,
685,Deutschland,
686,Deutschland,
687,Österreich,
688,Schweiz,
689,Österreich,
690,Deutschland,
691,Deutschland,
692,Deutschland,
693,Österreich,
694,Deutschland,
695,Deutschland,
696,Deutschland,
697,Österreich,
698,Schweiz,
699,Schweiz,
700,Deutschland,
701,Deutschland,
702,Deutschland,
702,Polen,
703,Deutschland,
704,Schweiz,
705,Deutschland,
706,Deutschland,
707,Deutschland,
708,Deutschland,
709,Österreich,
710,Österreich,
711,Deutschland,
712,Deutschland,
713,Deutschland,
714,Österreich,
715,Deutschland,
716,Deutschland,
717,Österreich,
718,Österreich,
719,Deutschland,
720,Deutschland,
720,Schweiz,
721,Schweiz,
722,Deutschland,
723,Deutschland,
723,Russland,
724,Österreich,
725,Deutschland,
726,Deutschland,
727,Deutschland,
728,Schweiz,
729,Schweiz,
729,Österreich,
730,Deutschland,
731,Deutschland,
732,Deutschland,
733,Deutschland,
734,Deutschland,
735,Deutschland,
736,Deutschland,
737,Deutschland,
738,Österreich,
739,Brasilien,
740,Deutschland,
741,Deutschland,
742,Österreich,
743,Deutschland,
744,Deutschland,
745,Österreich,
746,Österreich,
746,Deutschland,
747,Deutschland,
748,Schweiz,
749,Schweiz,
750,Deutschland,
751,Österreich,
752,Deutschland,
753,Österreich,
754,Österreich,
755,Deutschland,
756,Deutschland,
757,Österreich,
758,Schweiz,
758,Rumänien,
759,Österreich,
760,Österreich,
761,Schweiz,
762,Deutschland,
763,Schweiz,
763,Deutschland,
764,Schweiz,
764,Deutschland,
765,Österreich,
766,Deutschland,
766,Österreich,
767,Österreich,
768,Deutschland,
769,Deutschland,
770,Schweiz,
770,Deutschland,
771,Deutschland,
771,Russland,
772,Schweiz,
773,Deutschland,
774,Großbritannien,
775,Deutschland,
776,Deutschland,
777,Israel,
778,Deutschland,
779,Deutschland,
780,Deutschland,
781,Deutschland,
781,Türkei,
782,Deutschland,
783,Serbien,
784,Deutschland,
785,Österreich,
786,Schweiz,
787,Deutschland,
787,Italien,
788,Schweiz,
789,Deutschland,
790,Deutschland,
791,Deutschland,
792,Österreich,
793,Serbien,
794,Österreich,
795,Schweiz,
795,Frankreich,
796,Deutschland,
797,USA,
797,Österreich,
798,Österreich,
799,Österreich,
800,Deutschland,
801,Deutschland,
801,Türkei,
802,Deutschland,
803,Deutschland,
804,Deutschland,
805,Deutschland,
806,Ukraine,
807,Deutschland,
808,Deutschland,
809,Deutschland,
810,Schweiz,
811,Deutschland,
812,Schweiz,
813,Österreich,
814,Deutschland,
815,Österreich,
816,Österreich,
817,Österreich,
818,Schweiz,
819,Deutschland,
820,Österreich,
821,Deutschland,
822,Deutschland,
823,Schweiz,
824,Österreich,
825,Schweiz,
826,Österreich,
827,Deutschland,
828,Deutschland,
828,Schweiz,
829,Österreich,
830,Deutschland,
831,Deutschland,
832,Deutschland,
833,Deutschland,
834,Österreich,
835,Österreich,
836,Schweiz,
837,Deutschland,
838,Deutschland,
839,Österreich,
839,Deutschland,
840,Österreich,
841,Österreich,
