,Hubert Winkels,Klaus Kastberger,Michael Wiederstein,Insa Wilke,Nora Gomringer,Brigitte Schwens-Harrant,Philipp Tingler,Burkhard Spinnen,Meike Feßmann,Hildegard E. Keller,Daniela Strigl,Sandra Kegel,Paul Jandl,Stefan Gmünder,Juri Steiner,Ijoma Mangold,Arno Dusini
Jahre dabei,11,6,4,3,3,1,1,14,12,12,10,6,5,6,4,3,1
seit,2010,2015,2017,2018,2018,2020,2020,2000-2006 und 2008-2014,2009,2009,2003-2008 und 2011-,2015,2009-,2015,2013,2007-2009,2014-
Preise,8,4,0,2,1,,,10,6,9,7,5,7,3,3,2,0
Bachmann,0,0,0,1,0,,,3,1,1,3,3,1,2,0,0,0
Deutschlandfunkpreis,1,2,0,0,0,,,,0,0,,1,,0,,,
kelag (oder Vorgängerpreise),0,0,0,0,0,,,2,2,0,1,0,2,0,2,0,0
3sat (oder Vorgängerpreise),3,0,0,0,0,,,1,1,6,0,0,1,0,0,0,0
Ernst-Willner-Preis,1,0,0,,,,,3,0,0,2,0,0,0,0,2,0
Publikumspreis,3,2,0,1,1,,,1,1,1,1,1,0,1,0,0,0
Automatische Literaturkritik,0,0,0,,,,,0,1,1,0,0,3,0,1,0,0
Shortlist-Nominierte,12,9,3,0,0,,,8,9,10,8,4,7,4,3,3,1
Preise pro Jahr,"0,73","0,67","0,00","0,67","0,33",,,"0,71","0,50","0,75","0,70","0,83","1,40","0,50","0,75","0,67","0,00"
offizielle Preise pro Jahr (ohne ALK),"0,45","0,33","0,00","0,33","0,00",,,"0,71","0,33","0,58","0,60","0,67","0,80","0,33","0,50","0,67","0,00"
Jurypreise pro Jahr (ohne ALK und Publikum),"0,45","0,33","0,00","0,33","0,00",,,"0,64","0,33","0,58","0,60","0,67","0,80","0,33","0,50","0,67","0,00"
Bachmannpreise pro Jahr,"0,00","0,00","0,00","0,33","0,00",,,"0,21","0,08","0,08","0,30","0,50","0,20","0,33","0,00","0,00","0,00"
Shortlist-Nominierte pro Jahr,"1,09","1,50","0,75","0,00","0,00",,,"0,57","0,75","0,83","0,80","0,67","1,40","0,67","0,75","1,00","1,00"
ALK-Preise pro Jahr,"0,00","0,00","0,00","0,00","0,00",,,"0,00","0,08","0,08","0,00","0,00","0,60","0,00","0,25","0,00","0,00"
Publikumspreise pro Jahr,"0,27","0,33","0,00","0,33","0,33",,,"0,07","0,08","0,08","0,10","0,17","0,00","0,17","0,00","0,00","0,00"