Ort,Teilnehmer,Teilnehmer pro 100.000 Einwohner,Teilnehmer/100.000 normalisiert auf Teilnahme-Zeitraum
Berlin,134,"3,8","5,6"
Wien,82,"4,5","4,5"
München,47,"3,3","3,3"
Zürich,41,"10,4","10,4"
Hamburg,38,"2,1","2,1"
Berlin-West,36,"1,8","5,6"
Frankfurt,30,"4,2","4,2"
Graz,18,"6,4","6,4"
Köln,18,"1,7","1,7"
Bern,16,"11,3","11,3"
Leipzig,16,"2,9","2,9"
Basel,13,"7,4","7,4"
Berlin-Ost,12,"0,9","2,9"
Salzburg,12,"8,0","8,0"
Klagenfurt,8,"8,1","8,1"
Stuttgart,8,"1,3","1,3"
Freiburg,6,"2,7","2,7"
Innsbruck,6,"4,6","4,6"
Nürnberg,6,"1,2","1,2"
Tübingen,6,"7,0","7,0"
Bregenz,5,"17,2","17,2"
Biel,4,"7,5","7,5"
Heidelberg,4,"2,6","2,6"
Karlsruhe,4,"1,3","1,3"
Paris,4,"0,2","0,2"
Bamberg,3,#N/A,#N/A
Linz,3,"1,5","1,5"
Luzern,3,"3,7","3,7"
Münster,3,"1,0","1,0"
Wiesbaden,3,"1,1","1,1"
 Main,2,,
Aarau,2,,
Barcelona,2,,
Bielefeld,2,,
Bochum,2,,
Bremen,2,,
Dollart,2,,
Düsseldorf,2,,
Frankfurt ,2,,
Genf,2,,
Hohenems,2,,
Hollenstedt,2,,
Höchst (Vorarlberg),2,,
Kiel,2,,
Kilchberg,2,,
Konstanz,2,,
London,2,,
Mainz,2,,
Osnabrück,2,,
Potsdam,2,,
Riehen,2,,
St. Gallen,2,,
Strasbourg,2,,
Unterkulm,2,,
Uster,2,,
Verden (Aller),2,,
Wennigsen,2,,
Wiefelstede,2,,
Wolfurt,2,,
Wuppertal,2,,
 Luzern,1,,
 München,1,,
 Solingen,1,,
Aachen,1,,
Adliswil,1,,
Adnet,1,,
Adnet bei Salzburg,1,,
Alblingen,1,,
Allmuthshausen,1,,
Ammerland,1,,
Amsterdam,1,,
BRD,1,,
Bachern,1,,
Bad Essen,1,,
Bad Nauheim,1,,
Bad Segeberg,1,,
Bad Vilbel,1,,
Baden-Baden,1,,
Baltrum,1,,
Bienne,1,,
Bologna,1,,
Boston (USA),1,,
Bozen,1,,
Braunschweig,1,,
Brooklyn,1,,
Brunegg,1,,
Brunnen ,1,,
Brütten,1,,
CA,1,,
Celerina,1,,
Chieming,1,,
Cottbus,1,,
Dassendorf,1,,
Dornbirn,1,,
Dreieichenhain,1,,
Dublin (IRL),1,,
Düren,1,,
Eglharting bei München,1,,
Engelberg OW,1,,
Erftstadt,1,,
Erfurt,1,,
Erlangen,1,,
Ermatingen,1,,
Eschenburg,1,,
Esslingen,1,,
Eurasburg,1,,
FRA,1,,
Filzbach,1,,
Finnland,1,,
Florenz,1,,
Frauenfeld,1,,
Freidorf TG,1,,
Garmisch-Partenkirchen,1,,
Gießen,1,,
Gilching,1,,
Glarus,1,,
Gleisdorf,1,,
Göttingen,1,,
Hall in Tirol,1,,
Halle (Saale),1,,
Handorf,1,,
Hannover,1,,
Heiden,1,,
Heidgraben,1,,
Heinitzpolder,1,,
Heinrichswil,1,,
Heppenheim,1,,
Hermagor,1,,
Herrliberg,1,,
Herrsching,1,,
Hildesheim,1,,
Hiroshima,1,,
Hohensolms,1,,
Hohne,1,,
Hombroich,1,,
Höflein,1,,
IRL,1,,
Ingelheim,1,,
Inning,1,,
Jesteburg,1,,
Kall,1,,
Kassel,1,,
Kerry (IRL),1,,
Klosterneuburg,1,,
Kriens,1,,
Kronshagen,1,,
Kumberg,1,,
La Neuveville,1,,
La Roche de Rame-Hautes Alpes (FRA),1,,
Langenthal,1,,
Lans,1,,
Lauterach,1,,
Leipzig ,1,,
Leoben,1,,
Liepaja (LVA),1,,
Lippstadt,1,,
Lohr am Main,1,,
"Lure (Franche-Comté, FRA)",1,,
Lünen,1,,
Madiswil,1,,
Marburg,1,,
Maria Enzersdorf,1,,
Maur bei Zürich,1,,
Meikirch,1,,
Montevideo,1,,
Montpellier (FRA),1,,
Murnau,1,,
Mönchengladbach,1,,
Neu Meteln,1,,
Neuried,1,,
Niederalm,1,,
Niederwerrn,1,,
Niigata (JPN),1,,
Norwich (GB),1,,
Oberhofen,1,,
Obernberg (Inn),1,,
Oberursel,1,,
Odessa,1,,
Osterholz-Scharmbeck,1,,
Pfaffstätten,1,,
Pforzheim,1,,
Pogöriach ,1,,
Postdam,1,,
Pratteln,1,,
Pullach,1,,
Pully,1,,
Pécs,1,,
Pöcking (Oberbayern),1,,
ROM,1,,
Rankweil,1,,
Rheineck,1,,
Rostock,1,,
Rothrist,1,,
Rzeszow,1,,
Saarbrücken,1,,
San Diego (USA),1,,
Schallaburg,1,,
Schlangen,1,,
Schmitten,1,,
Schofheim,1,,
Schwerin,1,,
Schwielowsee,1,,
Seillans (FRA),1,,
Seon,1,,
Simbach,1,,
St. Georgen,1,,
St. Pantaleon,1,,
Stadum,1,,
"Steinbach (Lohr am Main)
",1,,
Südl. Waldviertel,1,,
Tainach,1,,
Tel Aviv,1,,
Terenten,1,,
Tielenhemme,1,,
Tomils,1,,
Traismauer,1,,
USA,1,,
Uetikon am See,1,,
Unterentfelden,1,,
Venedig,1,,
Villach,1,,
Visp,1,,
Waidhofen,1,,
Walding,1,,
Wedel bei Hamburg,1,,
Weiler im Allgäu ,1,,
Weingarten,1,,
Wildau,1,,
Willisau,1,,
Winterthur-Zürich,1,,
Wolfsberg,1,,
Worpswede,1,,
Wustrow,1,,
Zollbrück,1,,
bei Zürich,1,,
Übach-Palenberg,1,,