Schriftart,Vorkommen gesamt,in Prozent der Texte mit erfasster Schriftart,Prozent aller Preisträger-Texte,Prozent aller Shortlist-Texte
Arial,42,15%,13%,13%
Book Antiqua,6,2%,1%,1%
Calibri,13,5%,3%,5%
Cambria,16,6%,4%,7%
Computer Modern,3,1%,3%,2%
Garamond,26,9%,10%,9%
Georgia,11,4%,3%,6%
Helvetica,5,2%,3%,3%
Times New Roman,126,44%,46%,43%
,,,,
mit Serifen,188,66%,68%,68%
ohne Serifen,60,21%,20%,20%
,,,,
,,,,
,,,,
,,,,
Texte mit erfasster Schriftart,286,,,
Preisträgertexte mit erfasster Schriftart,91,,,
Shortlist-Texte mit erfasster Schriftart (seit 2007),109,,,