text_id,text_length,total_sentences,topic_id
508,4624,446,14
509,3983,395,1
510,2762,192,12
511,4026,422,11
512,4775,389,3
513,4122,237,11
514,4295,308,11
515,4106,467,11
516,4066,298,3
517,3250,274,4
518,4968,412,10
519,4564,417,0
520,3478,245,3
521,4213,464,11
522,4460,181,10
523,3728,73,11
524,4209,704,1
525,5308,683,3
526,3873,611,4
527,5079,814,3
528,3746,499,10
529,3740,541,10
530,4056,569,3
531,3703,578,3
532,5645,897,3
533,3192,413,0
534,4066,656,0
535,3511,506,1
536,4452,554,11
537,4303,634,0
538,4275,654,10
539,3244,380,11
540,3538,527,2
541,4195,594,2
542,4570,544,2
543,4269,691,2
544,2479,276,2
545,3825,467,4
546,4257,583,2
547,4441,559,2
548,4367,632,2
550,4635,805,2
551,3157,476,2
552,4330,509,2
553,4634,667,2
554,3671,676,2
555,2383,483,2
556,2403,353,11
557,3992,879,1
558,3549,971,0
559,3489,503,0
560,3824,517,14
561,3761,395,12
562,4196,446,3
563,3409,357,11
564,3964,324,3
565,4001,494,10
566,3452,517,1
567,3801,496,3
568,3576,520,0
569,2364,401,11
570,3723,409,1
571,4266,645,0
572,2148,328,11
573,4873,531,0
574,3569,516,3
575,3426,490,9
576,3460,367,10
577,3317,539,10
578,3263,622,1
579,3628,455,10
580,4005,557,9
581,4261,849,11
582,4933,724,9
583,3725,647,11
584,3910,667,10
585,4724,872,11
586,4978,568,10
587,4139,648,10
588,4028,502,3
589,1964,265,4
590,4517,517,1
591,3797,455,12
592,4038,675,0
593,3321,576,1
594,5027,626,0
595,3723,544,13
596,3965,579,0
597,4033,442,10
598,4356,672,10
599,3883,457,1
600,3176,446,3
601,3956,372,3
602,4367,595,4
603,4498,854,9
604,4597,591,11
605,3454,538,3
606,5098,969,10
607,4263,642,0
608,3870,678,10
609,3533,472,14
610,5013,947,5
611,3539,318,11
612,3119,389,3
613,2761,460,3
614,3100,421,11
615,4793,557,1
616,4149,488,1
617,3512,556,10
618,4612,617,0
619,4769,869,1
620,4636,712,10
621,4054,705,1
622,5092,665,9
623,4832,559,0
624,3845,790,0
625,4269,762,0
626,3665,696,10
627,3727,502,3
628,4817,685,10
629,4095,710,6
630,4460,635,3
631,4614,566,11
632,4588,516,0
633,4153,455,11
634,5457,769,11
635,3605,571,0
636,4801,304,10
637,3841,428,3
638,4175,665,11
639,4586,603,10
640,3886,577,0
641,3611,311,7
642,4301,426,3
643,4494,733,10
644,3793,239,0
645,4637,543,0
646,4158,509,12
647,3797,666,3
648,3682,474,12
649,3331,501,3
650,5622,556,11
651,3020,334,3
652,3746,538,10
653,4099,712,6
654,4133,468,0
655,3746,340,3
656,5645,699,0
657,4561,765,10
658,4703,619,3
659,4153,668,10
660,4133,606,3
661,3282,392,14
662,5671,625,12
663,2924,383,3
664,4463,565,13
665,4244,425,10
666,3908,463,9
667,3481,468,3
668,3905,569,1
669,3503,204,0
670,4060,571,1
671,3964,474,10
672,4968,644,0
673,3952,553,1
674,4059,606,3
675,3248,434,8
676,3130,543,10
677,3245,429,11
678,4419,611,10
679,2998,348,0
680,3399,513,11
681,3760,484,0
682,3511,609,3
683,3734,502,11
684,4265,577,0
685,4003,623,12
686,3700,497,10
687,5292,673,0
688,3849,446,3
689,4358,386,11
690,5155,683,3
691,4026,574,0
692,3399,486,1
693,4635,699,0
694,4503,688,1
695,3672,439,3
696,4325,523,0
697,3586,411,3
698,3713,656,3
699,2536,396,9
700,3692,561,0
701,4117,560,11
702,3517,437,12
703,4165,686,3
704,4408,403,11
705,4030,584,4
706,4747,744,1
707,2809,364,11
708,3680,409,3
709,3755,390,0
710,4174,491,4
711,4621,708,11
712,4709,486,10
713,3758,409,3
714,3548,516,4
715,3425,499,3
716,4062,479,0
717,3512,363,9
718,4551,547,10
719,2402,382,3
720,3275,543,4
721,3146,245,3
722,3504,456,3
723,3067,408,10
724,2983,346,11
725,3237,405,0
726,3115,262,3
727,3651,462,0
728,3208,526,9
729,3314,467,11
730,3462,344,11
731,2475,537,3
732,3347,614,1
733,3751,525,3
734,3022,390,0
735,3322,445,4
736,3538,444,3
737,3616,313,7
738,3257,396,1
739,3877,458,10
740,3101,523,3
741,4581,746,10
742,3990,586,1
743,4393,582,0
744,3254,424,1
745,3794,360,11
746,4828,603,10
747,2776,373,10
748,3103,523,1
749,1667,352,11
750,4065,568,1
751,3333,375,11
752,4146,606,3
753,4565,545,3
754,3600,314,1
755,3097,435,3
756,4037,538,11
757,3509,481,10
758,3804,432,10
759,4097,593,9
760,3746,411,3
761,2701,393,3
762,3300,459,10
763,3800,625,8
764,3219,474,11
765,3203,534,11
766,4412,459,3
767,2711,301,4
768,3868,628,10
769,5017,949,5
770,4117,781,10
771,3861,659,4
772,2743,432,3
773,4173,705,0
774,3076,425,3
775,3512,613,0
776,3331,522,1
777,1929,319,1
778,3466,384,11
779,2973,431,3
780,4301,747,9
781,3031,398,4
782,2807,399,0
783,3200,410,4
784,3794,533,3
785,3498,494,10
786,2751,441,8
787,3728,504,3
788,3253,439,11
789,3560,412,3
790,3763,530,0
791,3691,547,10
792,3350,441,3
793,4019,574,10
794,2716,385,3
795,3446,564,3
796,2511,511,10
797,3312,474,3
798,1958,279,12
799,2860,375,11
800,3266,661,13
801,3674,271,1
802,2751,608,3
803,3561,477,11
804,3491,599,10
805,3563,726,5
806,2830,349,11
807,2324,303,0
808,2829,402,3
809,3803,488,10
810,3536,446,3
811,3351,514,10
812,2769,388,3
813,3683,425,3
814,3015,405,3
815,2926,433,4
816,3327,462,6
817,2419,367,11
818,2861,523,9
819,3527,406,3
820,3932,519,9
821,4634,602,9
822,3462,372,10
823,2794,566,9
824,3602,497,12
825,3835,454,1
826,3740,334,3
827,3656,530,11
828,3927,887,11
829,3206,365,11
830,3800,433,1
831,2753,405,3
832,2238,324,14
833,3274,434,10
834,3539,896,3
835,3850,589,10
836,2749,317,11
837,4343,593,11
838,3509,430,3
839,3755,389,10
840,3532,235,11
841,3370,531,9
